Chart,Static build time (seconds),Dynamic build time (seconds),Overhead (%)
prometheus-community/alertmanager,0.11682844161987305,0.17774295806884766,-52.14014293469166
ingress-nginx/ingress-nginx,0.45775866508483887,0.4593484401702881,-0.34729546521081744
argo/argocd-image-updater,0.0906670093536377,0.07419776916503906,18.16453449386644
bitnami/spark,5.797405958175659,0.10138559341430664,98.25119037469973
grafana/mimir-distributed,19.80898642539978,0.30123138427734375,98.47931954816681
k8s-dashboard/kubernetes-dashboard,17.191382884979248,0.10669350624084473,99.37937798864299
traefik/traefik,0.16721248626708984,0.17734336853027344,-6.058687655060313
metrics-server/metrics-server,0.1267235279083252,0.11380910873413086,10.191019290069745
gitlab/gitlab-runner,0.08853769302368164,0.08496785163879395,4.03200180959408
hashicorp/consul,0.2061445713043213,0.2457747459411621,-19.22445708179077
jenkinsci/jenkins,0.11864686012268066,0.10720992088317871,9.639479062215534
harbor/harbor,0.11814308166503906,0.1477043628692627,-25.021593128945284
elastic/logstash,0.4284672737121582,0.6053187847137451,-41.27538364117739
aws/aws-node-termination-handler,0.09403800964355469,0.0833582878112793,11.35681398697848
nextcloud/nextcloud,11.532013177871704,0.13482975959777832,98.8308220124436
vmware-tanzu/velero,0.10437297821044922,0.11719417572021484,-12.284019992142028
apache-airflow/airflow,10.368640899658203,0.18390870094299316,98.22629886864867
external-secrets-operator/external-secrets,7.876486301422119,0.16046762466430664,97.96270039046048
external-dns/external-dns,0.09135985374450684,0.13054323196411133,-42.88905532749986
cluster-autoscaler/cluster-autoscaler,0.1138463020324707,0.10220956802368164,10.221442243657672
cilium/cilium,0.27716803550720215,0.28488993644714355,-2.785999809036693
rancher-stable/rancher,0.1874699592590332,0.24053406715393066,-28.30539255709609
fluent/fluent-bit,0.09959149360656738,0.09133315086364746,8.292216979438233
Chart,Static package size (bytes),Dynamic package size (bytes),Overhead (%)
prometheus-community/alertmanager,14299,14299,0.0
ingress-nginx/ingress-nginx,57768,57770,-0.0034621243595069936
argo/argocd-image-updater,9367,9367,0.0
bitnami/spark,49650,33410,32.70896273917422
grafana/mimir-distributed,216693,172663,20.31906891316286
k8s-dashboard/kubernetes-dashboard,378109,13479,96.43515494209342
traefik/traefik,245710,245711,-0.0004069838427414431
metrics-server/metrics-server,10396,10396,0.0
gitlab/gitlab-runner,29223,29223,0.0
hashicorp/consul,210903,210902,0.0004741516242063887
jenkinsci/jenkins,79594,79594,0.0
harbor/harbor,49833,49833,0.0
elastic/logstash,14197,14196,0.007043741635556808
aws/aws-node-termination-handler,14399,14399,0.0
nextcloud/nextcloud,277750,38391,86.17785778577857
vmware-tanzu/velero,35765,35765,0.0
apache-airflow/airflow,204620,141686,30.756524288925814
external-secrets-operator/external-secrets,109956,106874,2.8029393575612063
external-dns/external-dns,18535,18533,0.010790396547073105
cluster-autoscaler/cluster-autoscaler,30679,30679,0.0
cilium/cilium,219435,219445,-0.0045571581561738095
rancher-stable/rancher,15141,15143,-0.013209167162010434
fluent/fluent-bit,15087,15087,0.0
Chart,Static pull time (seconds),Dynamic pull time (seconds),Overhead (%)
prometheus-community/alertmanager,1.242915391921997,1.4350707530975342,-15.460051619313795
ingress-nginx/ingress-nginx,1.2303500175476074,1.224329948425293,0.48929727609659757
argo/argocd-image-updater,1.2184782028198242,1.2656440734863281,-3.870883414849096
bitnami/spark,1.9149863719940186,1.3336515426635742,30.357126182841583
grafana/mimir-distributed,1.4585645198822021,1.4406476020812988,1.2283939144735498
k8s-dashboard/kubernetes-dashboard,1.3496761322021484,1.2295973300933838,8.896860457393032
traefik/traefik,1.5415334701538086,1.3794147968292236,10.516714457611442
metrics-server/metrics-server,1.2187681198120117,1.8573338985443115,-52.3943618438916
gitlab/gitlab-runner,1.1834042072296143,1.3792133331298828,-16.546259063812503
hashicorp/consul,2.0792994499206543,1.6375632286071777,21.244473533157198
jenkinsci/jenkins,1.335702657699585,1.2187767028808594,8.753891005959472
harbor/harbor,1.1971435546875,1.2011795043945312,-0.33713164066483126
elastic/logstash,1.3248686790466309,1.21156907081604,8.551761395108281
aws/aws-node-termination-handler,1.1799979209899902,1.2101199626922607,-2.55271989606548
nextcloud/nextcloud,1.3620822429656982,1.1659467220306396,14.399682687882889
vmware-tanzu/velero,1.7406296730041504,1.3027043342590332,25.15901834474087
apache-airflow/airflow,1.3627848625183105,1.2748239040374756,6.454500699273294
external-secrets-operator/external-secrets,1.1762359142303467,1.614919662475586,-37.29555805412435
external-dns/external-dns,1.6520428657531738,1.7335715293884277,-4.935021077560516
cluster-autoscaler/cluster-autoscaler,1.3448915481567383,1.205596923828125,10.357312789981146
cilium/cilium,1.2812986373901367,1.2583277225494385,1.7927838343360334
rancher-stable/rancher,1.2126140594482422,1.1738073825836182,3.2002496228916932
fluent/fluent-bit,1.2835922241210938,1.500723123550415,-16.915878372354275
Chart,Static install time (seconds),Dynamic install time (seconds),Overhead (%)
prometheus-community/alertmanager,0.407367467880249,0.29201650619506836,-28.316193800504852
ingress-nginx/ingress-nginx,7.3389811515808105,4.206818342208862,-42.67844193464488
argo/argocd-image-updater,0.25783514976501465,0.27301573753356934,5.887710726171333
bitnami/spark,0.40100598335266113,6.313310623168945,1474.3681853287362
grafana/mimir-distributed,0.25251317024230957,15.230645895004272,5931.624362558622
k8s-dashboard/kubernetes-dashboard,3.1536214351654053,19.047012090682983,503.97268607745815
traefik/traefik,1.3806123733520508,0.927384614944458,-32.82802379260015
metrics-server/metrics-server,0.22160077095031738,0.1969451904296875,-11.126125786880783
gitlab/gitlab-runner,0.19030284881591797,0.16328668594360352,-14.196404857001108
hashicorp/consul,0.9849853515625,0.9175622463226318,-6.845087100322221
jenkinsci/jenkins,0.5134036540985107,0.6643750667572021,29.405987170812647
harbor/harbor,2.3767127990722656,3.1830968856811523,33.92854563343343
elastic/logstash,0.22806096076965332,0.1951911449432373,-14.412732330639994
aws/aws-node-termination-handler,0.24618959426879883,0.2136857509613037,-13.202768948880198
nextcloud/nextcloud,0.36301755905151367,11.389693975448608,3037.5049750230855
vmware-tanzu/velero,15.174073219299316,4.85875678062439,-67.97987784555616
apache-airflow/airflow,64.77975821495056,61.984498739242554,-4.315019927108787
external-secrets-operator/external-secrets,2.5213866233825684,11.998158693313599,375.85557018691003
external-dns/external-dns,2.3431193828582764,0.29140186309814453,-87.56350763729866
cluster-autoscaler/cluster-autoscaler,0.30313682556152344,0.2722020149230957,-10.204900239726673
cilium/cilium,1.8839373588562012,0.9439353942871094,-49.89560614370943
rancher-stable/rancher,2.2713818550109863,0.45714735984802246,-79.87360166501765
fluent/fluent-bit,0.34034156799316406,0.2954983711242676,-13.175938846763843
Chart,Static cold start (seconds),Dynamic cold start (seconds),Overhead (%)
prometheus-community/alertmanager,1.2361838817596436,1.2147338390350342,-1.735182203967613
ingress-nginx/ingress-nginx,5.177755832672119,4.815969944000244,-6.987310726183195
argo/argocd-image-updater,1.2319645881652832,1.1888275146484375,-3.5014864819359834
bitnami/spark,1.4309828281402588,10.037638187408447,601.4506386812212
grafana/mimir-distributed,1.33351469039917,16.170899629592896,1112.6525298909419
k8s-dashboard/kubernetes-dashboard,1.9018340110778809,17.781980991363525,834.9912183600836
traefik/traefik,2.4558463096618652,2.0489540100097656,-16.56831284805126
metrics-server/metrics-server,1.2386372089385986,1.2050034999847412,-2.715380154184009
gitlab/gitlab-runner,1.1063320636749268,1.2578508853912354,13.695600687284188
hashicorp/consul,2.0142533779144287,1.914168357849121,-4.968839628752978
jenkinsci/jenkins,1.688807725906372,1.5713505744934082,-6.95503399298611
harbor/harbor,3.3304665088653564,4.6867334842681885,40.72303299830789
elastic/logstash,1.1467642784118652,1.264308214187622,10.250052080323035
aws/aws-node-termination-handler,1.1588094234466553,1.1431446075439453,-1.351802598922434
nextcloud/nextcloud,1.3150160312652588,12.346615314483643,838.8946614288949
vmware-tanzu/velero,6.735812664031982,5.782480001449585,-14.153194427051407
apache-airflow/airflow,74.63304352760315,65.62245559692383,-12.073188369099192
external-secrets-operator/external-secrets,2.8761672973632812,9.260547637939453,221.97527753093627
external-dns/external-dns,1.3438835144042969,1.215839147567749,-9.527936421878504
cluster-autoscaler/cluster-autoscaler,1.3585987091064453,1.376739263534546,1.3352400754179787
cilium/cilium,3.1371750831604004,3.368748903274536,7.3816033206807035
rancher-stable/rancher,1.5018467903137207,1.6474199295043945,9.692942058375014
fluent/fluent-bit,1.2594404220581055,1.306433916091919,3.731299489103216
